Date,Traffic source,Views
2026-04,Direct or unknown,0
2026-05,Direct or unknown,0
2026-06,Direct or unknown,0
2026-07,Direct or unknown,9
2026-04,Browse features,0
2026-05,Browse features,0
2026-06,Browse features,0
2026-07,Browse features,26
2026-04,Channel pages,0
2026-05,Channel pages,0
2026-06,Channel pages,0
2026-07,Channel pages,61
2026-04,YouTube search,0
2026-05,YouTube search,0
2026-06,YouTube search,0
2026-07,YouTube search,86
2026-04,Suggested videos,0
2026-05,Suggested videos,0
2026-06,Suggested videos,0
2026-07,Suggested videos,22
2026-04,Other YouTube features,0
2026-05,Other YouTube features,0
2026-06,Other YouTube features,0
2026-07,Other YouTube features,4
2026-04,External,0
2026-05,External,0
2026-06,External,0
2026-07,External,138
2026-04,Notifications,0
2026-05,Notifications,0
2026-06,Notifications,0
2026-07,Notifications,20
2026-04,End screens,0
2026-05,End screens,0
2026-06,End screens,0
2026-07,End screens,2
2026-04,Shorts feed,0
2026-05,Shorts feed,0
2026-06,Shorts feed,0
2026-07,Shorts feed,284
